"","RPT_DT","OFNS_DESC","LAW_CAT_CD","BORO_NM","ADDR_PCT_CD","Latitude","Longitude","Lat_Lon","id","address","street_number","route","neighborhood","political","administrative_area_level_2","administrative_area_level_1","country","postal_code","postal_code_suffix","locality","premise","postal_code_new"
"1450","04/22/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",103,40.704960483,-73.804610776,"(40.704960483, -73.804610776)",1450,"152-51 89th Ave, Jamaica, NY 11432, USA","152-51","89th Avenue","Jamaica","Queens","Queens County","New York","United States",11432,NA,NA,NA,"11432"
"1451","08/08/2015","DANGEROUS DRUGS","MISDEMEANOR","BRONX",48,40.845079926,-73.89264895,"(40.845079926, -73.89264895)",1451,"1897-1959 Belmont Ave, Bronx, NY 10457, USA","1897-1959","Belmont Avenue","West Bronx","Bronx","Bronx County","New York","United States",10457,6304,NA,NA,"10457"
"1452","09/22/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","QUEENS",113,40.678334455,-73.773726541,"(40.678334455, -73.773726541)",1452,"168-42 127th Ave, Jamaica, NY 11434, USA","168-42","127th Avenue","Jamaica","Queens","Queens County","New York","United States",11434,NA,NA,NA,"11434"
"1453","09/15/2015","HARRASSMENT 2","VIOLATION","STATEN ISLAND",121,40.58583816,-74.164563483,"(40.58583816, -74.164563483)",1453,"62-64 Racal Ct, Staten Island, NY 10314, USA","62-64","Rascal Court","Heartland Village","Staten Island","Richmond County","New York","United States",10314,NA,NA,NA,"10314"
"1454","03/31/2015","FRAUDS","MISDEMEANOR","BROOKLYN",63,40.618030551,-73.922882097,"(40.618030551, -73.922882097)",1454,"1619-1621 E 54th St, Brooklyn, NY 11234, USA","1619-1621","East 54th Street","Flatlands","Brooklyn","Kings County","New York","United States",11234,3919,NA,NA,"11234"
"1455","09/01/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","MANHATTAN",25,40.803235241,-73.934699266,"(40.803235241, -73.934699266)",1455,"223-243 Dr Martin Luther King Jr Blvd, New York, NY 10035, USA","223-243","Doctor Martin Luther King Junior Boulevard","Upper Manhattan","Manhattan","New York County","New York","United States",10035,NA,"New York",NA,"10035"
"1456","10/14/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",107,40.707855055,-73.80232274,"(40.707855055, -73.80232274)",1456,"1599-15911 NY-25, Jamaica, NY 11432, USA","1599-15911","Hillside Avenue","Jamaica","Queens","Queens County","New York","United States",11432,NA,NA,NA,"11432"
"1457","04/07/2015","PETIT LARCENY","MISDEMEANOR","BRONX",41,40.824926583,-73.896851125,"(40.824926583, -73.896851125)",1457,"1046-1064 Intervale Ave, Bronx, NY 10459, USA","1046-1064","Intervale Avenue","West Bronx","Bronx","Bronx County","New York","United States",10459,NA,NA,NA,"10459"
"1458","09/20/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","STATEN ISLAND",123,40.538335631,-74.174408639,"(40.538335631, -74.174408639)",1458,"185 Barclay Ave, Staten Island, NY 10312, USA","185","Barclay Avenue","Annadale","Staten Island","Richmond County","New York","United States",10312,4102,NA,NA,"10312"
"1459","10/29/2015","PETIT LARCENY","MISDEMEANOR","BRONX",49,40.846718735,-73.857384112,"(40.846718735, -73.857384112)",1459,"1723-1729 Bogart Ave, Bronx, NY 10462, USA","1723-1729","Bogart Avenue","East Bronx","Bronx","Bronx County","New York","United States",10462,NA,NA,NA,"10462"
"1460","05/11/2015","PETIT LARCENY","MISDEMEANOR","BRONX",44,40.837134824,-73.909636206,"(40.837134824, -73.909636206)",1460,"1371-1379 Rev. Charles Britt Way, Bronx, NY 10456, USA","1371-1379","Rev. Charles Britt Way","West Bronx","Bronx","Bronx County","New York","United States",10456,NA,NA,NA,"10456"
"1461","12/28/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",111,40.761958257,-73.789080191,"(40.761958257, -73.789080191)",1461,"193-1-193-3 39th Ave, Flushing, NY 11358, USA","193-1-193-3","39th Avenue","Flushing","Queens","Queens County","New York","United States",11358,NA,NA,NA,"11358"
"1462","09/29/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",101,40.60617105,-73.765507837,"(40.60617105, -73.765507837)",1462,"12-24 Bay 27th St, Far Rockaway, NY 11691, USA","12-24","Bay 27th Street","Far Rockaway","Queens","Queens County","New York","United States",11691,NA,NA,NA,"11691"
"1463","10/19/2015","GRAND LARCENY","FELONY","QUEENS",112,40.708858707,-73.859637628,"(40.708858707, -73.859637628)",1463,"75-2-75-16 Woodhaven Blvd, Glendale, NY 11385, USA","75-2-75-16","Woodhaven Boulevard","Glendale","Queens","Queens County","New York","United States",11385,NA,NA,NA,"11385"
"1464","03/21/2015","FRAUDS","MISDEMEANOR","BRONX",52,40.865383016,-73.893201875,"(40.865383016, -73.893201875)",1464,"2654 Valentine Ave, Bronx, NY 10458, USA","2654","Valentine Avenue","West Bronx","Bronx","Bronx County","New York","United States",10458,NA,NA,NA,"10458"
"1465","01/12/2015","ROBBERY","FELONY","BROOKLYN",72,40.660945231,-73.983237653,"(40.660945231, -73.983237653)",1465,"63 Windsor Pl, Brooklyn, NY 11215, USA","63","Windsor Place","South Slope","Brooklyn","Kings County","New York","United States",11215,NA,NA,NA,"11215"
"1466","11/08/2015","GRAND LARCENY OF MOTOR VEHICLE","FELONY","QUEENS",105,40.671247623,-73.731681256,"(40.671247623, -73.731681256)",1466,"243-7-243-11 135th Ave, Rosedale, NY 11422, USA","243-7-243-11","135th Avenue","Rosedale","Queens","Queens County","New York","United States",11422,NA,NA,NA,"11422"
"1467","12/01/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","QUEENS",103,40.696573698,-73.791248854,"(40.696573698, -73.791248854)",1467,"107-99 Guy R Brewer Blvd, Jamaica, NY 11433, USA","107-99","Guy R Brewer Boulevard","Jamaica","Queens","Queens County","New York","United States",11433,NA,NA,NA,"11433"
"1468","05/20/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","MANHATTAN",33,40.843216237,-73.937287557,"(40.843216237, -73.937287557)",1468,"570-580 W 172nd St, New York, NY 10032, USA","570-580","West 172nd Street","Upper Manhattan","Manhattan","New York County","New York","United States",10032,NA,"New York",NA,"10032"
"1469","07/08/2015","HARRASSMENT 2","VIOLATION","STATEN ISLAND",120,40.636818967,-74.118653127,"(40.636818967, -74.118653127)",1469,"779 Henderson Ave, Staten Island, NY 10310, USA","779","Henderson Avenue","Port Richmond","Staten Island","Richmond County","New York","United States",10310,1306,NA,NA,"10310"
"1470","07/22/2015","THEFT-FRAUD","FELONY","MANHATTAN",14,40.753831441,-73.988563365,"(40.753831441, -73.988563365)",1470,"526 Fashion Ave, New York, NY 10018, USA","526","Fashion Avenue","Midtown","Manhattan","New York County","New York","United States",10018,NA,"New York",NA,"10018"
"1471","10/19/2015","GRAND LARCENY","FELONY","STATEN ISLAND",121,40.603635128,-74.137687986,"(40.603635128, -74.137687986)",1471,"294 Sheraden Ave, Staten Island, NY 10314, USA","294","Sheraden Avenue","Manor Heights","Staten Island","Richmond County","New York","United States",10314,4310,NA,NA,"10314"
"1472","05/05/2015","FORGERY","FELONY","BRONX",49,40.871193469,-73.853173517,"(40.871193469, -73.853173517)",1472,"1159 Burke Ave, Bronx, NY 10469, USA","1159","Burke Avenue","East Bronx","Bronx","Bronx County","New York","United States",10469,5005,NA,NA,"10469"
"1473","10/19/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","MANHATTAN",1,40.70890286,-74.007547153,"(40.70890286, -74.007547153)",1473,"55-59 John St, New York, NY 10038, USA","55-59","John Street","Lower Manhattan","Manhattan","New York County","New York","United States",10038,NA,"New York",NA,"10038"
"1474","06/03/2015","FELONY ASSAULT","FELONY","QUEENS",105,40.666460669,-73.757632397,"(40.666460669, -73.757632397)",1474,"185-25 N Conduit Ave, Jamaica, NY 11413, USA","185-25","North Conduit Avenue","Jamaica","Queens","Queens County","New York","United States",11413,NA,NA,NA,"11413"
"1475","06/24/2015","BURGLARY","FELONY","BRONX",52,40.866513303,-73.892632428,"(40.866513303, -73.892632428)",1475,"2694 Valentine Ave, Bronx, NY 10458, USA","2694","Valentine Avenue","West Bronx","Bronx","Bronx County","New York","United States",10458,NA,NA,NA,"10458"
"1476","09/19/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",68,40.62897744,-74.02732007,"(40.62897744, -74.02732007)",1476,"343 78th St, Brooklyn, NY 11209, USA","343","78th Street","Bay Ridge","Brooklyn","Kings County","New York","United States",11209,NA,NA,NA,"11209"
"1477","06/28/2015","OFF. AGNST PUB ORD SENSBLTY &","MISDEMEANOR","QUEENS",109,40.754630297,-73.823688849,"(40.754630297, -73.823688849)",1477,"43-49-43-51 Kissena Blvd, Flushing, NY 11355, USA","43-49-43-51","Kissena Boulevard","Flushing","Queens","Queens County","New York","United States",11355,NA,NA,NA,"11355"
"1478","12/29/2015","BURGLARY","FELONY","BRONX",46,40.850998555,-73.909899314,"(40.850998555, -73.909899314)",1478,"1940 Jerome Ave, Bronx, NY 10453, USA","1940","Jerome Avenue","West Bronx","Bronx","Bronx County","New York","United States",10453,5710,NA,NA,"10453"
"1479","12/28/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",106,40.66712415,-73.834651291,"(40.66712415, -73.834651291)",1479,"99-0-99-98 NY-27, Ozone Park, NY 11417, USA","99-0-99-98","North Conduit Avenue","Ozone Park","Queens","Queens County","New York","United States",11417,NA,NA,NA,"11417"
"1480","10/25/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.836016182,-73.8611293,"(40.836016182, -73.8611293)",1480,"1409 Metropolitan Ave, Bronx, NY 10462, USA","1409","Metropolitan Avenue","East Bronx","Bronx","Bronx County","New York","United States",10462,NA,NA,NA,"10462"
"1481","11/30/2015","OTHER OFFENSES RELATED TO THEF","MISDEMEANOR","STATEN ISLAND",122,40.564596357,-74.137190021,"(40.564596357, -74.137190021)",1481,"45-47 Corona Ave, Staten Island, NY 10306, USA","45-47","Corona Avenue","Richmond","Staten Island","Richmond County","New York","United States",10306,1150,NA,NA,"10306"
"1482","02/20/2015","UNAUTHORIZED USE OF A VEHICLE","MISDEMEANOR","QUEENS",109,40.78375877,-73.776881782,"(40.78375877, -73.776881782)",1482,"214-9-214-11 18th Ave, Bayside, NY 11360, USA","214-9-214-11","18th Avenue","Bayside","Queens","Queens County","New York","United States",11360,NA,NA,NA,"11360"
"1483","10/29/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",46,40.862215299,-73.898926291,"(40.862215299, -73.898926291)",1483,"114e E Fordham Rd, Bronx, NY 10468, USA","114e","East Fordham Road",NA,"Bronx",NA,"New York","United States",10468,NA,NA,NA,"10468"
"1484","10/20/2015","PETIT LARCENY","MISDEMEANOR","BRONX",41,40.820152075,-73.892273671,"(40.820152075, -73.892273671)",1484,"925 La 65 de Infanter<ed>a, Bronx, NY 10459, USA","925","La 65 de Infanter<ed>a",NA,"Bronx",NA,"New York","United States",10459,NA,NA,NA,"10459"
"1485","12/27/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BRONX",42,40.833648657,-73.905730918,"(40.833648657, -73.905730918)",1485,"1323-1329 Washington Ave, Bronx, NY 10456, USA","1323-1329","Washington Avenue","West Bronx","Bronx","Bronx County","New York","United States",10456,NA,NA,NA,"10456"
"1486","01/21/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","STATEN ISLAND",122,40.596800942,-74.079098353,"(40.596800942, -74.079098353)",1486,"101 Kramer St, Staten Island, NY 10305, USA","101","Kramer Street","Arrochar","Staten Island","Richmond County","New York","United States",10305,2519,NA,NA,"10305"
"1487","09/26/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",83,40.698111063,-73.92516245,"(40.698111063, -73.92516245)",1487,"201 Central Ave, Brooklyn, NY 11221, USA","201","Central Avenue","Bushwick","Brooklyn","Kings County","New York","United States",11221,NA,NA,NA,"11221"
"1488","06/10/2015","PETIT LARCENY","MISDEMEANOR","QUEENS",106,40.678128067,-73.830935811,"(40.678128067, -73.830935811)",1488,"108-1-108-5 Rockaway Blvd, South Ozone Park, NY 11420, USA","108-1-108-5","Rockaway Boulevard","South Ozone Park","Queens","Queens County","New York","United States",11420,NA,NA,NA,"11420"
"1489","08/04/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",73,40.665436709,-73.905723533,"(40.665436709, -73.905723533)",1489,"539-551 Mother Gaston Blvd, Brooklyn, NY 11212, USA","539-551","Mother Gaston Boulevard","Brownsville","Brooklyn","Kings County","New York","United States",11212,NA,NA,NA,"11212"
"1490","10/26/2015","MISCELLANEOUS PENAL LAW","FELONY","BROOKLYN",67,40.649610464,-73.938377673,"(40.649610464, -73.938377673)",1490,"4113 Snyder Ave, Brooklyn, NY 11203, USA","4113","Snyder Avenue","East Flatbush","Brooklyn","Kings County","New York","United States",11203,4054,NA,NA,"11203"
"1491","01/06/2015","POSSESSION OF STOLEN PROPERTY","MISDEMEANOR","BROOKLYN",88,40.69779503,-73.964414146,"(40.69779503, -73.964414146)",1491,"278 Flushing Ave, Brooklyn, NY 11205, USA","278","Flushing Avenue",NA,"Brooklyn","Kings County","New York","United States",11205,NA,NA,NA,"11205"
"1492","01/05/2015","GRAND LARCENY","FELONY","BRONX",45,40.841812523,-73.843588593,"(40.841812523, -73.843588593)",1492,"53 Williamsbridge Rd, Bronx, NY 10461, USA","53","Williamsbridge Road","East Bronx","Bronx","Bronx County","New York","United States",10461,NA,NA,NA,"10461"
"1493","12/28/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",78,40.66975651,-73.987478308,"(40.66975651, -73.987478308)",1493,"271-275 9th St, Brooklyn, NY 11215, USA","271-275","9th Street","Park Slope","Brooklyn","Kings County","New York","United States",11215,NA,NA,NA,"11215"
"1494","10/03/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",79,40.698890722,-73.944863304,"(40.698890722, -73.944863304)",1494,"185-195 Ellery St, Brooklyn, NY 11206, USA","185-195","Ellery Street","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States",11206,5205,NA,NA,"11206"
"1495","05/05/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN",72,40.6375073,-74.018225797,"(40.6375073, -74.018225797)",1495,"6312-6314 5th Ave, Brooklyn, NY 11220, USA","6312-6314","5th Avenue","Sunset Park","Brooklyn","Kings County","New York","United States",11220,4911,NA,NA,"11220"
"1496","10/19/2015","BURGLARY","FELONY","QUEENS",113,40.679980738,-73.776233907,"(40.679980738, -73.776233907)",1496,"167-0-167-2 Baisley Blvd, Jamaica, NY 11434, USA","167-0-167-2","Baisley Boulevard","Jamaica","Queens","Queens County","New York","United States",11434,NA,NA,NA,"11434"
"1497","12/27/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",104,40.712879463,-73.873567202,"(40.712879463, -73.873567202)",1497,"67-0-67-20 79th St, Middle Village, NY 11379, USA","67-0-67-20","79th Street","Middle Village","Queens","Queens County","New York","United States",11379,NA,NA,NA,"11379"
"1498","03/25/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",60,40.582064694,-73.96721187,"(40.582064694, -73.96721187)",1498,"2785 Ocean Pkwy, Brooklyn, NY 11235, USA","2785","Ocean Parkway","Brighton Beach","Brooklyn","Kings County","New York","United States",11235,NA,NA,NA,"11235"
"1499","08/23/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","QUEENS",107,40.715315275,-73.79291805,"(40.715315275, -73.79291805)",1499,"84-71-84-75 Homelawn Street, Jamaica, NY 11432, USA","84-71-84-75","Homelawn Street","Jamaica","Queens","Queens County","New York","United States",11432,2149,NA,NA,"11432"
"1500","06/16/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",46,40.855678071,-73.899673663,"(40.855678071, -73.899673663)",1500,"2230 Ryer Ave, Bronx, NY 10457, USA","2230","Ryer Avenue","West Bronx","Bronx","Bronx County","New York","United States",10457,NA,NA,NA,"10457"
"1501","12/05/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","QUEENS",107,40.734184466,-73.814852071,"(40.734184466, -73.814852071)",1501,"68-18-68-98 Kissena Blvd, Flushing, NY 11367, USA","68-18-68-98","Kissena Boulevard","Flushing","Queens","Queens County","New York","United States",11367,NA,NA,NA,"11367"
"1502","12/24/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",113,40.66803543,-73.773426239,"(40.66803543, -73.773426239)",1502,"162-1 NY-27, Jamaica, NY 11434, USA","162-1","North Conduit Avenue","Jamaica","Queens","Queens County","New York","United States",11434,4437,NA,NA,"11434"
"1503","06/22/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","BROOKLYN",81,40.679226083,-73.927974168,"(40.679226083, -73.927974168)",1503,"1765-1767 Fulton St, Brooklyn, NY 11233, USA","1765-1767","Fulton Street","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States",11233,NA,NA,NA,"11233"
"1504","04/05/2015","ARSON","FELONY","QUEENS",113,40.674325197,-73.800926014,"(40.674325197, -73.800926014)",1504,"139-35-139-99 Rockaway Blvd, Jamaica, NY 11436, USA","139-35-139-99","Rockaway Boulevard","Jamaica","Queens","Queens County","New York","United States",11436,NA,NA,NA,"11436"
"1505","09/09/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",84,40.693657467,-73.983323188,"(40.693657467, -73.983323188)",1505,"159 Myrtle Ave, Brooklyn, NY 11201, USA","159","Myrtle Avenue","Downtown Brooklyn","Brooklyn","Kings County","New York","United States",11201,NA,NA,NA,"11201"
"1506","07/25/2015","DANGEROUS DRUGS","MISDEMEANOR","BROOKLYN",79,40.696780794,-73.946556394,"(40.696780794, -73.946556394)",1506,"77 Tompkins Ave, Brooklyn, NY 11206, USA","77","Tompkins Avenue","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States",11206,NA,NA,NA,"11206"
"1507","08/06/2015","CRIMINAL MISCHIEF & RELATED OF","FELONY","QUEENS",105,40.652907807,-73.73088647,"(40.652907807, -73.73088647)",1507,"257-25-257-27 149th Ave, Rosedale, NY 11422, USA","257-25-257-27","149th Avenue","Rosedale","Queens","Queens County","New York","United States",11422,NA,NA,NA,"11422"
"1508","06/16/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",9,40.727427824,-73.976409147,"(40.727427824, -73.976409147)",1508,"198-212 Avenue C, New York, NY 10009, USA","198-212","Avenue C","Lower Manhattan","Manhattan","New York County","New York","United States",10009,NA,"New York",NA,"10009"
"1509","06/12/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","MANHATTAN",28,40.80201216,-73.947537444,"(40.80201216, -73.947537444)",1509,"15-41 W 117th St, New York, NY 10026, USA","15-41","West 117th Street","Upper Manhattan","Manhattan","New York County","New York","United States",10026,NA,"New York",NA,"10026"
"1510","08/07/2015","FELONY ASSAULT","FELONY","MANHATTAN",28,40.804735761,-73.956096041,"(40.804735761, -73.956096041)",1510,"308-310 W 116th St, New York, NY 10026, USA","308-310","West 116th Street","Upper Manhattan","Manhattan","New York County","New York","United States",10026,NA,"New York",NA,"10026"
"1511","06/21/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BRONX",49,40.848549094,-73.868635775,"(40.848549094, -73.868635775)",1511,"1977 Birchall Ave, Bronx, NY 10462, USA","1977","Birchall Avenue","East Bronx","Bronx","Bronx County","New York","United States",10462,NA,NA,NA,"10462"
"1512","12/13/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",67,40.653386761,-73.923760233,"(40.653386761, -73.923760233)",1512,"101-109 E 57th St, Brooklyn, NY 11203, USA","101-109","East 57th Street","East Flatbush","Brooklyn","Kings County","New York","United States",11203,NA,NA,NA,"11203"
"1513","10/31/2015","HARRASSMENT 2","VIOLATION","QUEENS",105,40.723990539,-73.744612001,"(40.723990539, -73.744612001)",1513,"90-13-90-15 216th St, Queens Village, NY 11428, USA","90-13-90-15","216th Street","Queens Village","Queens","Queens County","New York","United States",11428,NA,NA,NA,"11428"
"1514","04/02/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",19,40.772789413,-73.962738566,"(40.772789413, -73.962738566)",1514,"800 Park Ave, New York, NY 10021, USA","800","Park Avenue","Upper East Side","Manhattan","New York County","New York","United States",10021,NA,"New York",NA,"10021"
"1515","06/10/2015","BURGLARY","FELONY","BROOKLYN",79,40.680002664,-73.942236182,"(40.680002664, -73.942236182)",1515,"1473 Fulton St, Brooklyn, NY 11216, USA","1473","Fulton Street","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States",11216,NA,NA,NA,"11216"
"1516","06/10/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","QUEENS",111,40.737248812,-73.742616211,"(40.737248812, -73.742616211)",1516,"7830-7834 Cloverdale Blvd, Oakland Gardens, NY 11364, USA","7830-7834","Cloverdale Boulevard","Oakland Gardens","Queens","Queens County","New York","United States",11364,NA,NA,NA,"11364"
"1517","01/12/2015","BURGLARY","FELONY","QUEENS",108,40.749884562,-73.94857462,"(40.749884562, -73.94857462)",1517,"12-1 44th Ave, Long Island City, NY 11101, USA","12-1","44th Avenue","Long Island City","Queens","Queens County","New York","United States",11101,NA,NA,NA,"11101"
"1518","06/01/2015","GRAND LARCENY","FELONY","BROOKLYN",67,40.63821541,-73.9357327,"(40.63821541, -73.9357327)",1518,"695 E 43rd St, Brooklyn, NY 11203, USA","695","East 43rd Street","East Flatbush","Brooklyn","Kings County","New York","United States",11203,6506,NA,NA,"11203"
"1519","06/11/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","MANHATTAN",19,40.769779387,-73.950667635,"(40.769779387, -73.950667635)",1519,"509 E 77th St, New York, NY 10075, USA","509","East 77th Street","Upper East Side","Manhattan","New York County","New York","United States",10075,NA,"New York",NA,"10075"
"1520","03/21/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",83,40.697917328,-73.926940593,"(40.697917328, -73.926940593)",1520,"1285 Myrtle Ave, Brooklyn, NY 11221, USA","1285","Myrtle Avenue","Bushwick","Brooklyn","Kings County","New York","United States",11221,NA,NA,NA,"11221"
"1521","09/12/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","MANHATTAN",5,40.721978958,-73.993334525,"(40.721978958, -73.993334525)",1521,"221 Bowery, New York, NY 10002, USA","221","Bowery","Lower Manhattan","Manhattan","New York County","New York","United States",10002,1218,"New York",NA,"10002"
"1522","01/06/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",20,40.774237779,-73.982100724,"(40.774237779, -73.982100724)",1522,"1976 Broadway, New York, NY 10023, USA","1976","Broadway","Upper West Side","Manhattan","New York County","New York","United States",10023,5903,"New York",NA,"10023"
"1523","09/22/2015","ROBBERY","FELONY","BROOKLYN",81,40.6768927,-73.919219646,"(40.6768927, -73.919219646)",1523,"1943 Atlantic Ave, Brooklyn, NY 11233, USA","1943","Atlantic Avenue","Bedford-Stuyvesant","Brooklyn","Kings County","New York","United States",11233,3158,NA,NA,"11233"
"1524","06/14/2015","DANGEROUS DRUGS","FELONY","MANHATTAN",18,40.763792658,-73.997416757,"(40.763792658, -73.997416757)",1524,"620 W 46th St, New York, NY 10036, USA","620","West 46th Street","Midtown","Manhattan","New York County","New York","United States",10036,NA,"New York",NA,"10036"
"1525","09/21/2015","FELONY ASSAULT","FELONY","BRONX",40,40.821768985,-73.911994716,"(40.821768985, -73.911994716)",1525,"3103 Third Ave, Bronx, NY 10451, USA","3103","Third Avenue","West Bronx","Bronx","Bronx County","New York","United States",10451,NA,NA,NA,"10451"
"1526","08/13/2015","PETIT LARCENY","MISDEMEANOR","MANHATTAN",14,40.750999048,-73.990624712,"(40.750999048, -73.990624712)",1526,"469 7th Avenue, New York, NY 10018, USA",NA,NA,"Midtown","Manhattan","New York County","New York","United States",10018,NA,"New York","469 7th Avenue","10018"
"1527","01/21/2015","HARRASSMENT 2","VIOLATION","BRONX",44,40.844839006,-73.916633881,"(40.844839006, -73.916633881)",1527,"50 W Mount Eden Ave, Bronx, NY 10452, USA","50","West Mount Eden Avenue","West Bronx","Bronx","Bronx County","New York","United States",10452,2004,NA,NA,"10452"
"1528","06/11/2015","ADMINISTRATIVE CODE","MISDEMEANOR","BROOKLYN",67,40.664696379,-73.925466675,"(40.664696379, -73.925466675)",1528,"27-83 E 96th St, Brooklyn, NY 11212, USA","27-83","East 96th Street",NA,"Brooklyn","Kings County","New York","United States",11212,3752,NA,NA,"11212"
"1529","08/23/2015","DANGEROUS DRUGS","FELONY","MANHATTAN",33,40.832248344,-73.942501511,"(40.832248344, -73.942501511)",1529,"1938 Amsterdam Ave, New York, NY 10032, USA","1938","Amsterdam Avenue","Upper Manhattan","Manhattan","New York County","New York","United States",10032,NA,"New York",NA,"10032"
"1530","04/01/2015","OFFENSES AGAINST PUBLIC ADMINI","MISDEMEANOR","BRONX",44,40.82681201,-73.920923807,"(40.82681201, -73.920923807)",1530,"895 Sheridan Ave, Bronx, NY 10451, USA","895","Sheridan Avenue","West Bronx","Bronx","Bronx County","New York","United States",10451,NA,NA,NA,"10451"
"1531","10/27/2015","ASSAULT 3 & RELATED OFFENSES","MISDEMEANOR","BROOKLYN",63,40.623276231,-73.932195208,"(40.623276231, -73.932195208)",1531,"1531 E 45th St, Brooklyn, NY 11234, USA","1531","East 45th Street","Flatlands","Brooklyn","Kings County","New York","United States",11234,3003,NA,NA,"11234"
"1532","09/12/2015","PETIT LARCENY","MISDEMEANOR","BROOKLYN",72,40.656571214,-74.003623569,"(40.656571214, -74.003623569)",1532,"129-139 33rd St, Brooklyn, NY 11232, USA","129-139","33rd Street","Greenwood","Brooklyn","Kings County","New York","United States",11232,2107,NA,NA,"11232"
"1533","11/21/2015","PETIT LARCENY","MISDEMEANOR","BRONX",43,40.830334345,-73.849953694,"(40.830334345, -73.849953694)",1533,"2203-2225 Cross Bronx Expy, Bronx, NY 10472, USA","2203-2225","Cross Bronx Expressway","East Bronx","Bronx","Bronx County","New York","United States",10472,NA,NA,NA,"10472"
"1534","06/08/2015","HARRASSMENT 2","VIOLATION","BROOKLYN",83,40.700496637,-73.939834542,"(40.700496637, -73.939834542)",1534,"21 Fayette St, Brooklyn, NY 11206, USA","21","Fayette Street","Bushwick","Brooklyn","Kings County","New York","United States",11206,4542,NA,NA,"11206"
"1535","06/07/2015","HARRASSMENT 2","VIOLATION","BRONX",47,40.877886866,-73.86595252,"(40.877886866, -73.86595252)",1535,"3514 White Plains Rd, Bronx, NY 10467, USA","3514","White Plains Road","East Bronx","Bronx","Bronx County","New York","United States",10467,NA,NA,NA,"10467"
"1536","04/15/2015","GRAND LARCENY","FELONY","BROOKLYN",78,40.683794356,-73.976702211,"(40.683794356, -73.976702211)",1536,"609 Atlantic Ave, Brooklyn, NY 11217, USA","609","Atlantic Avenue","Fort Greene","Brooklyn","Kings County","New York","United States",11217,NA,NA,NA,"11217"
"1537","05/25/2015","CRIMINAL MISCHIEF & RELATED OF","MISDEMEANOR","BROOKLYN",73,40.659836178,-73.911141476,"(40.659836178, -73.911141476)",1537,"841 Thomas S Boyland St, Brooklyn, NY 11212, USA","841","Thomas S Boyland Street","Brownsville","Brooklyn","Kings County","New York","United States",11212,5348,NA,NA,"11212"
